C0 values	alpha	beta	number of C0 in D0	number of C0 in D1	number of C1 in D0	number of C1 in D1	logreg time	cnn_aux time	cnn_pure time	logreg rocauc	cnn_aux rocauc	cnn_pure rocauc	mean logreg rocauc	mean cnn_aux rocauc	mean cnn_pure rocauc
[0]	0.0009668063	0.0105330354	30	330	31000	31000	70.7280607224	86.9011788368	151.3368265629	0.6668847003	0.7292533394	0.5082682101	0.7505499742	0.7692199041	0.5672023281
[0]	0.0009668063	0.0105330354	30	330	31000	31000	68.714715004	89.217833519	153.2530758381	0.7477896078	0.6875711062	0.5210342186	0.7505499742	0.7692199041	0.5672023281
[0]	0.0009668063	0.0152477764	30	480	31000	31000	69.0419487953	86.3505122662	148.728928566	0.8299183599	0.8027824141	0.5645638808	0.8377389304	0.7824899724	0.7397125545
[0]	0.0009668063	0.0152477764	30	480	31000	31000	72.3995163441	87.569018364	148.7462136745	0.8176248455	0.9261242644	0.9036695644	0.8377389304	0.7824899724	0.7397125545
[0]	0.0009668063	0.0152477764	30	480	31000	31000	74.7240006924	88.4227824211	149.7424914837	0.807349981	0.6942781081	0.6651828538	0.8377389304	0.7824899724	0.7397125545
[0]	0.0009668063	0.0152477764	30	480	31000	31000	78.2323355675	88.699586153	150.1848142147	0.8585971473	0.8371574362	0.6006312846	0.8377389304	0.7824899724	0.7397125545
[0]	0.0009668063	0.0152477764	30	480	31000	31000	75.762950182	86.5691585541	152.6118850708	0.879050396	0.6479765286	0.8129231035	0.8377389304	0.7824899724	0.7397125545
[0]	0.0009668063	0.0152477764	30	480	31000	31000	77.3148810863	89.8633229733	153.7208514214	0.8338928525	0.786621083	0.8913046401	0.8377389304	0.7824899724	0.7397125545
[0]	0.0009668063	0.0199177996	30	630	31000	31000	76.1753487587	91.2827978134	155.0866770744	0.8190376308	0.8844805578	0.9027421626	0.8556386455	0.8880670277	0.8442998995
[0]	0.0009668063	0.0199177996	30	630	31000	31000	74.5957393646	91.0529022217	156.376937151	0.8713080829	0.9356165715	0.9573111365	0.8556386455	0.8880670277	0.8442998995
[0]	0.0009668063	0.0199177996	30	630	31000	31000	74.0879440308	93.0572390556	156.2244710922	0.8915708413	0.9193907101	0.9085649101	0.8556386455	0.8880670277	0.8442998995
[0]	0.0009668063	0.0199177996	30	630	31000	31000	78.3475193977	103.3361260891	159.3769445419	0.8632407875	0.8828364864	0.6450498592	0.8556386455	0.8880670277	0.8442998995
[0]	0.0009668063	0.0199177996	30	630	31000	31000	77.5697445869	94.8771419525	162.7003264427	0.8591934106	0.9124764185	0.6641658586	0.8556386455	0.8880670277	0.8442998995
[0]	0.0009668063	0.0199177996	30	630	31000	31000	77.5362474918	96.3786373138	160.4106993675	0.8415962928	0.8598594623	0.8994409185	0.8556386455	0.8880670277	0.8442998995
[0]	0.0009668063	0.0199177996	30	630	31000	31000	79.8089954853	96.3689436913	162.0239803791	0.841413768	0.8698497443	0.8448334473	0.8556386455	0.8880670277	0.8442998995
[0]	0.0009668063	0.0199177996	30	630	31000	31000	84.584328413	96.1600277424	163.2742648125	0.8577483504	0.8400262708	0.932290903	0.8556386455	0.8880670277	0.8442998995
[0]	0.0009668063	0.0251572327	30	800	31000	31000	75.1844365597	99.9500293732	165.0161266327	0.8729028569	0.8972608058	0.9025526286	0.8785408205	0.910263549	0.875570065
[0]	0.0009668063	0.0251572327	30	800	31000	31000	77.7489061356	98.0516347885	167.8748104572	0.8762995772	0.8491556218	0.9414784537	0.8785408205	0.910263549	0.875570065
[0]	0.0009668063	0.0251572327	30	800	31000	31000	79.9269049168	96.2020840645	168.0013561249	0.8691660956	0.9611853597	0.8885466425	0.8785408205	0.910263549	0.875570065
[0]	0.0009668063	0.0251572327	30	800	31000	31000	79.7629346848	99.1877048016	167.543159008	0.8498598783	0.8737835819	0.9032424944	0.8785408205	0.910263549	0.875570065
[0]	0.0009668063	0.0251572327	30	800	31000	31000	78.7122910023	98.037427187	160.8768446445	0.8551604727	0.9469154553	0.5895413515	0.8785408205	0.910263549	0.875570065
[0]	0.0009668063	0.0251572327	30	800	31000	31000	91.5475153923	121.790127039	162.7031712532	0.9046907976	0.9309352509	0.9029594624	0.8785408205	0.910263549	0.875570065
[0]	0.0009668063	0.0251572327	30	800	31000	31000	80.3547816277	99.2767577171	333.9042184353	0.9147811882	0.896601386	0.9176117273	0.8785408205	0.910263549	0.875570065
[0]	0.0009668063	0.0251572327	30	800	31000	31000	163.4030838013	118.4238834381	999.4145030975	0.8854656977	0.9262709303	0.9586277597	0.8785408205	0.910263549	0.875570065
[0]	0.0009668063	0.0372670807	30	1200	31000	31000	92.5187082291	104.2251911163	166.2625024319	0.9281385638	0.959550181	0.8081749565	0.910740844	0.9228387053	0.9092757975
[0]	0.0009668063	0.0372670807	30	1200	31000	31000	85.0330226421	102.8401200771	165.424500227	0.9009715126	0.9200039929	0.9881471284	0.910740844	0.9228387053	0.9092757975
[0]	0.0009668063	0.0372670807	30	1200	31000	31000	91.7881948948	105.4871051312	166.172311306	0.907083785	0.9621485775	0.9203788892	0.910740844	0.9228387053	0.9092757975
[0]	0.0009668063	0.0372670807	30	1200	31000	31000	87.1997683048	104.2809171677	169.8910582066	0.9095449002	0.9691943341	0.9132354095	0.910740844	0.9228387053	0.9092757975
[0]	0.0009668063	0.0372670807	30	1200	31000	31000	88.9354531765	105.8879415989	169.4528360367	0.9092160967	0.950166959	0.9020356326	0.910740844	0.9228387053	0.9092757975
[0]	0.0009668063	0.0372670807	30	1200	31000	31000	84.907389164	105.0668110847	173.2058577538	0.8923150814	0.7370872123	0.9338109457	0.910740844	0.9228387053	0.9092757975
[0]	0.0009668063	0.0372670807	30	1200	31000	31000	87.9515371323	106.9081311226	182.9393465519	0.9279159682	0.9617196804	0.8991476209	0.910740844	0.9228387053	0.9092757975
[0]	0.0009668063	0.0519877676	30	1700	31000	31000	56.5605828762	83.3355565071	166.8987898827	0.9060668153	0.9819938467	0.9144910222	0.9229815166	0.9676558257	0.9456486039
[0]	0.0009668063	0.0519877676	30	1700	31000	31000	56.7913136482	87.581099987	171.4403207302	0.9398165153	0.9710991681	0.9443227212	0.9229815166	0.9676558257	0.9456486039
[0]	0.0009668063	0.0519877676	30	1700	31000	31000	54.4606947899	82.9953916073	165.1120166779	0.9230612192	0.9498744623	0.9781320682	0.9229815166	0.9676558257	0.9456486039
[0]	0.0009668063	0.0690690691	30	2300	31000	31000	55.3160581589	86.7053060532	170.0443775654	0.9518950346	0.9805641633	0.9792284016	0.9562800977	0.9730802445	0.965760085
[0]	0.0009668063	0.0690690691	30	2300	31000	31000	59.2743854523	79.1868510246	154.168068409	0.9588948209	0.9845425032	0.9856208334	0.9562800977	0.9730802445	0.965760085
[0]	0.0009668063	0.0690690691	30	2300	31000	31000	59.8116221428	83.6371719837	161.3237609863	0.9535469938	0.9586137792	0.99097662	0.9562800977	0.9730802445	0.965760085
[0]	0.0009668063	0.0690690691	30	2300	31000	31000	60.9745197296	76.7886242867	145.0538461208	0.9636244811	0.9648999933	0.9873294143	0.9562800977	0.9730802445	0.965760085
[0]	0.0009668063	0.0690690691	30	2300	31000	31000	58.8525135517	76.9349737167	144.970361948	0.9516188607	0.9799532462	0.9870902036	0.9562800977	0.9730802445	0.965760085
[0]	0.0009668063	0.0690690691	30	2300	31000	31000	59.502286911	78.3998057842	149.0601704121	0.9581003953	0.9699077817	0.8643150373	0.9562800977	0.9730802445	0.965760085
[0]	0.0009668063	0.0882352941	30	3000	31000	31000	61.0394322872	79.7683029175	151.1912045479	0.9541830852	0.965345927	0.9846076861	0.9622299433	0.9767064293	0.987000505
[0]	0.0009668063	0.0882352941	30	3000	31000	31000	63.261988163	81.4937922955	154.22290802	0.9630589555	0.9824527837	0.9854472115	0.9622299433	0.9767064293	0.987000505
[0]	0.0009668063	0.0882352941	30	3000	31000	31000	64.3436658382	81.4524753094	153.9133882523	0.9541847992	0.9743109033	0.987731713	0.9622299433	0.9767064293	0.987000505
[0]	0.0009668063	0.0882352941	30	3000	31000	31000	65.0969772339	83.4237728119	153.8529586792	0.9693905393	0.9858324812	0.9916803261	0.9622299433	0.9767064293	0.987000505
[0]	0.0009668063	0.0882352941	30	3000	31000	31000	62.758220911	83.9598622322	157.3188750744	0.9687344515	0.9688386406	0.9876442002	0.9622299433	0.9767064293	0.987000505
[0]	0.0009668063	0.0882352941	30	3000	31000	31000	64.1897363663	84.8570044041	157.5001797676	0.963827829	0.9834578399	0.9848918933	0.9622299433	0.9767064293	0.987000505
